filename,redshift,MWEBV,type,host_photo_z
2019aacg,,0.034,,
2020kps,,0.02,,0.123961562547284
2020itq,,0.055,,0.11371131953388
2020ixl,,0.041,,0.278994
2020kpt,,0.028,,0.253812245324183
2020iir,,0.042,,0.156128454476489
2020ijc,,0.019,,0.157318100678244
2020igg,,0.037,,0.0746180000987651
2020ije,,0.025,,0.152679638097529
2020ito,,0.032,,0.163643422277396
2020ikz,,0.035,,0.0793752206958856
2020ikx,,0.01,,0.238165121484118
2020iks,,0.023,,0.102107292994319
2020iky,,0.018,,0.318321554412457
2020ino,,0.021,,0.0967004286163894
2020itp,,0.026,,0.109139664438545
2020jvk,,0.034,,0.290421376185562
2020iow,,0.02,,
2020ioy,,0.04,,0.0756133837586878
2020itc,,0.032,,0.194680429079932
2020ite,,0.015,,0.0714488459014712
2020kgr,,0.029,,0.112266527959381
2020iga,,0.008,,0.135368049398952
2020iyu,,0.01,,0.206257957511943
2020iyt,,0.072,,
2020fwz,,0.148,,0.234816640470124
2020jba,,0.025,,0.121717556614348
2020ixs,,0.037,,0.0487568112918975
2020jcy,,0.063,,0.0581285808067161
2020jdf,,0.035,,0.0883083101237848
2020ilb,0.0499,0.01,SN Ia,0.0434667293799326
2020jde,,0.032,,0.068885017406089
2020awg,0.03181,0.035,SN II,0.0362531057991882
2020jeu,,0.032,,0.0321145168622807
2020jfx,,0.009,,0.145947525247536
2020jed,,0.051,,0.0442218535413059
2020ika,,0.019,,0.0641495120493179
2020jdz,,0.014,,0.0996362994732962
2020jli,,0.074,,
2020jlj,,0.032,,0.34434921280196
2020jlk,,0.02,,0.0546898739540178
2020jpm,,0.01,,0.291685285933439
2020jpp,,0.028,,0.167860279909772
2020jpo,,0.023,,0.197148282942936
2020jpq,,0.017,,0.104485262274186
2020kop,,0.024,,0.0335678743318138
2020kon,,0.028,,0.229224
2020kuw,,0.009,,0.313294497674843
2020jpw,,0.053,,
2020kux,,0.052,,
2020jtj,,0.049,,0.124249961761929
2020knt,,0.009,,0.553056
2020jtk,,0.064,,0.15681454348564
2020kuy,,0.024,,0.117368
2020knv,,0.017,,
2020jnz,,0.023,,0.0696071968287649
2020jts,,0.012,,0.0757406113279502
2020jtq,,0.011,,0.166362450947354
2020jtr,,0.029,,0.18282573623829
2020kpf,,0.019,,
2020jvi,,0.032,,0.103747163173966
2020kax,,0.035,,0.148351563783155
2020jip,,0.019,,0.105653
2020juk,,0.045,,0.042067
2020jzx,,0.012,,0.099313
2020kaj,0.14,0.011,SN Ia,0.601702
2020kak,,0.012,,0.241344
2020kvf,,0.011,,
2020kvg,,0.014,,0.221882
2020kcl,,0.018,,0.151467
2020kcf,,0.023,,0.132031
2020kxv,,0.021,,
2020jur,,0.096,,
2020jup,,0.034,,0.18275
2020huf,,0.032,,0.025577
2020kfe,,0.022,,0.652256
2020jzs,,0.045,,0.111906
2020hwg,,0.025,,0.122609747321399
2020kfh,,0.026,,0.257954
2020kff,,0.02,,0.242483
2020kfj,,0.019,,0.157131
2020kfi,,0.023,,0.146986
2020kfg,,0.026,,0.305025
2020kzv,,0.03,,0.22465
2020kuv,,0.017,,0.359668
2020kxr,,0.024,,
2020kxp,,0.026,,0.173961
2020kim,,0.011,,0.360586
2020kmm,,0.07,,
2020kml,,0.093,,0.141584
2020kyb,,0.029,,
2020kob,,0.027,,0.058494
2020mbn,,0.019,,0.032031
2020koe,,0.021,,0.100316
2020kof,,0.015,,0.162299
2020kqz,,0.125,,0.205509
2020jmm,,0.07,,
2020ley,,0.023,,0.337583
2020lex,,0.031,,0.230877
2020kvd,,0.01,,0.169413
2020kvb,,0.01,,0.135317
2020kvc,,0.016,,
2020kfy,,0.014,,0.116552
2020lew,,0.01,,0.062285
2020lev,,0.021,,
2020lad,,0.024,,0.191427
2020lez,,0.042,,
2020lac,,0.06,,0.264891
2020lgr,,0.011,,0.174946
2020lgq,,0.038,,0.152624
2020lkr,,0.01,,0.183421
2020lgy,,0.013,,0.077328
2021dbz,,0.138,,
2020lks,,0.013,,0.12276
2020lhw,,0.081,,
2020lhz,,0.034,,0.687318
2020lhy,,0.034,,0.104491
2020lsz,,0.127,,
2020lib,,0.019,,0.105095
2020lly,,0.035,,
2020gcv,0.028396,0.032,SN II,0.034186
2020ltk,,0.012,,0.69788
2020llz,,0.114,,0.174882
2020ltj,,0.024,,0.189753
2020jjb,,0.073,,0.032684
2020kzy,,0.032,,0.152975
2020imb,,0.036,,0.138766975299911
2020kry,,0.029,,0.071239
2019wbv,,0.018,,
2019zfv,0.1357,0.028,SN Ia,
2021lrs,,0.084,,
2020lxe,,0.023,,0.111547379162784
2020lxd,,0.035,,0.354863
2020nfh,,0.026,,0.312985
2020lyv,,0.017,,0.367126
2020lyu,,0.014,,0.252244
2020juu,,0.024,,0.084402
2020ndf,,0.039,,0.284912
2020lyz,,0.025,,0.114001
2020mbh,,0.018,,0.042513
2020mbg,,0.132,,0.324706
2020mbi,,0.01,,0.150119
2020ndg,,0.027,,0.162505
2020nfg,,0.026,,0.345252
2020ndh,,0.032,,0.165645
2020ldd,,0.023,,0.291725
2020mvu,,0.027,,0.776603
2020mms,,0.033,,0.174478
2020lbf,0.056079,0.058,SN Ia,0.043943
2020lhx,,0.055,,
2020nbw,,0.016,,0.163308
2020nbx,,0.073,,0.441607
2020mnx,,0.023,,
2020mka,,0.04,,0.126558
2020ndi,,0.028,,0.123377
2020msu,0.1,0.01,SN Ia,0.43842
2020nff,,0.018,,
2020ndj,,0.023,,0.598775
2020lis,,0.075,,0.113459
2020mrv,,0.161,,0.135823
2020lom,,0.086,,
2020nib,,0.027,,0.258159
2020mub,,0.025,,0.18344
2020nic,,0.046,,0.369224
2020nie,,0.009,,0.350413
2020mjn,,0.034,,0.024164
2020mvy,,0.03,,0.163414
2020mvw,,0.043,,0.075314
2020mwc,,0.036,,0.089803
2020mvx,,0.028,,0.329213
2020npn,,0.082,,0.422947
2020mcd,,0.034,,
2020nax,,0.024,,0.154438
2020mju,,0.021,,
2020nyu,,0.095,,0.058078
2020ofp,,0.085,,0.107445
2020nhl,,0.07,,
2020nhj,,0.044,,0.185006
2020nwa,,0.041,,0.151775
2020njw,,0.027,,0.258517
2020nkv,,0.033,,
2020nor,,0.039,,0.026885
2020nde,,0.039,,0.113284
2020mzr,,0.032,,0.256103
2020noq,,0.089,,0.109156
2020odw,,0.094,,
2020ooo,,0.082,,0.671091
2020nnk,,0.049,,0.368883
2020mye,,0.043,,0.113286
2020odu,,0.072,,0.178424
2020odt,,0.124,,0.29617
2020ods,,0.046,,0.309626
2020mrw,,0.046,,0.075839
2020nue,,0.087,,0.26509
2020odr,,0.026,,0.228597
2020olk,,0.025,,0.089137
2020pfs,,0.018,,0.074405
2020nsp,,0.025,,0.521241
2020odq,,0.087,,0.09653
2020nuc,,0.013,,0.066626
2020nrp,,0.031,,0.190577
2020odn,,0.036,,0.268633
2020nvd,,0.035,,0.130297
2020nqu,,0.043,,0.112728
2020mza,,0.066,,0.029816
2020nud,,0.05,,0.171906
2020qhp,,0.04,,0.185389
2020myi,0.073,0.082,SN Ia,0.030844
2020nlk,,0.03,,0.105681
2020jnx,,0.032,,0.029173
2020oay,,0.019,,
2020noz,0.025,0.023,SN IIn,0.02786
2020oku,,0.02,,0.305786
2020oix,,0.025,,0.120305
2020opa,,0.079,,0.137061
2020oiy,,0.016,,0.356037
2020ohy,,0.032,,0.096249
2020oos,,0.019,,0.090156
2020oot,,0.013,,0.12715
2020oou,,0.032,,
2020oov,,0.008,,0.375962
2020oow,,0.028,,
2020oox,,0.012,,0.172507
2020ojl,,0.066,,
2020ovg,,0.033,,0.094453
2020oiv,,0.013,,0.164059
2020ovv,,0.015,,0.058859
2020ovi,,0.05,,0.206486
2020pip,,0.024,,0.44141
2020pqw,,0.021,,0.213075
2020kqb,,0.04,,0.334731
2020nbo,0.05,0.035,SN Ia,0.19885938350145
2020ogv,,0.022,,0.066015
2020mor,,0.021,,0.089523
2020kmj,,0.019,,0.104384
2020mwo,,0.04,,0.163524
2020lnm,,0.03,,
2020kmv,,0.021,,0.14624
2020poh,,0.086,,
2020pog,,0.029,,
2020qda,,0.03,,0.06606
2020jxa,,0.052,,0.170156
2020ppq,,0.031,,0.183938
2020qrn,,0.012,,0.218695
2020qgo,,0.149,,0.137907
2020qgn,,0.033,,0.109252
2020qro,,0.042,,0.165052
2020qfz,,0.093,,
2020qgm,,0.045,,0.151572
2020qgl,,0.03,,0.328145
2020azs,0.135,0.017,SN Ia,0.126689642667539
2020juq,0.12,0.046,SN Ia,0.136009
2020ghq,0.01521,0.009,SN II,0.390952
2020ama,0.063977,0.017,SN II,0.0671045217470373
2020ann,0.08,0.018,SN Ia,0.119714650143331
2020apw,,0.018,,0.0733240322092461
2020kjk,,0.073,,0.084047
2020pzl,,0.076,,0.28204
2020pyk,,0.035,,0.137489
2020pyi,,0.022,,0.222556
2020pyx,,0.058,,
2020qht,,0.037,,0.246454
2020oen,,0.034,,0.165726
2020nrm,,0.031,,0.219938
2020pwl,,0.09,,
2020qfw,,0.032,,
2020qbi,,0.016,,0.046138
2020qbj,,0.02,,0.328303
2020qrq,,0.012,,0.072229
2020pux,,0.041,,0.33606
2020qet,,0.025,,0.145451
2020trf,,0.028,,0.281435
2020qfj,,0.027,,0.398458
2020qfv,,0.067,,0.17957
2020ppe,0.0388,0.031,SN Ia,0.052771
2020pth,,0.023,,0.161651
2020psu,,0.022,,0.161494
2020qqg,,0.019,,0.190002
2020qrp,,0.033,,0.319498
2020pvj,,0.052,,0.11651
2020qhn,,0.041013397127389904,,
2020qho,,0.06,,0.103022
2020qqi,,0.083,,
2020qrv,,0.078,,0.103762
2020qlp,,0.046,,0.204261
2020nim,0.06,0.046,SN II,0.368427
2020rpl,,0.05,,0.195147
2020rmo,,0.039,,0.12055
2020vzc,,0.019,,0.513558
2020toj,,0.061,,0.537066
2020pmq,,0.062,,0.549607
2020qmy,,0.06,,0.066254
2020qrt,,0.011,,0.31892
2020qte,,0.083,,
2020qpu,,0.017,,0.075581
2020rjw,,0.019,,0.142736
2020rcs,,0.019,,0.085775
2019wdy,,0.033,,0.495427
2020qrs,,0.035,,0.100635
2020ncg,,0.156,,
2020rmp,,0.099,,
2020qze,,0.034,,0.144355
2020qzg,,0.029,,0.071416
2020ovk,0.025,0.046,SN II,0.034637
2020pix,,0.026,,0.097222
2020qtp,,0.054,,0.095255
2020qtf,,0.027,,0.050885
2020qxm,,0.035,,0.152372
2020qxl,,0.047,,0.086488
2020qzf,,0.039,,
2020rcr,,0.035,,0.258246
2020rkr,,0.067,,0.186974
2020kvl,0.12,0.018,SN Ia,0.131849
2020rla,,0.094,,
2020rij,,0.025,,0.128337
2020rkq,,0.038,,
2020qyx,,0.039,,0.12125
2020rom,,0.048,,0.271991
2020rhg,0.03,0.018,SN II,0.079228
2020riu,,0.021,,0.446075
2020rsn,,0.029,,0.220705
2020sdu,,0.025,,0.680536
2020rof,,0.02,,0.128784
2020rkp,,0.057,,
2020qqe,,0.066,,0.093686
2020rmc,,0.041,,
2020yja,,0.015,,
2020tao,,0.034,,
2020rsw,,0.02,,0.387402
2020rst,,0.036,,
2020rsr,,0.025,,0.237656
2020sxr,,0.007,,
2020rsx,,0.054,,0.194002
2020rrr,,0.049,,0.265741
2020rsu,,0.02,,0.199899
2020nrg,,0.068,,
2020rnl,,0.049,,0.1462
2020tre,,0.062,,0.126361
2020roi,,0.008,,
2020trg,,0.037,,0.254897
2020roj,,0.048,,0.256893
2020yjb,,0.027,,
2020rsp,,0.011,,0.10183
2020rso,,0.077,,0.383959
2020rrn,,0.012,,0.092086
2020rss,,0.068,,0.147859
2020ulp,,0.055,,0.23551
2020toi,,0.038,,
2020ron,,0.036,,0.12076
2020sej,,0.036,,0.352109
2020rtg,,0.012,,0.132411
2020ioz,0.06,0.028,SN Ia,
2020inp,0.07,0.031,SN Iax[02cx-like],0.520489
2020ivg,0.053,0.011,SN IIb,0.488863
2020ikq,0.037,0.01,SN IIb,0.102976069612389
2020iio,,0.038,,0.0865945648019351
2020vtq,,0.034,,0.581262
2020rwx,,0.017,,
2020vzb,,0.013,,
2020roo,,0.035,,0.530381
2020sex,,0.039,,0.377907
2020abxz,,0.038,,0.153653
2020qmv,,0.03,,0.770004
2020tga,,0.018,,0.170412
2020tgb,,0.027,,0.230332
2020ski,,0.025,,0.10705
2020rth,0.0184,0.041,SN II,
2020trk,,0.018,,
2020skj,,0.05,,0.101065
2020tri,,0.029,,0.128422
2020rdu,,0.055,,0.199804
2020skd,0.06,0.06,SN Ia,0.075491
2020sss,,0.104,,
2020nrh,,0.035,,
2020tgv,,0.045,,
2020sxq,,0.019,,
2020sek,,0.014,,0.040389
2020sxo,,0.036,,0.224968
2020rvq,0.131,0.02,SN Ia,0.116329
2020skv,,0.01,,0.111166
2020rxy,,0.092,,
2020trj,,0.011,,0.027633
2020sxp,,0.034,,0.542754
2020sxs,,0.042,,
2020rol,,0.007,,0.176213
2020puc,,0.075,,0.212942
2020tee,,0.017,,
2020tqy,,0.017,,0.51967
2020tgd,,0.021,,0.709657
2020tgu,,0.02,,0.079355
2020tgc,,0.028,,0.174449
2020tqz,0.136,0.054,SN Ia,0.140849
2020tra,,0.016,,
2020szp,,0.088,,0.135311
2020szo,,0.036,,0.128721
2020twb,,0.065,,
2020qnh,,0.097,,0.479246
2020trl,,0.061,,0.071545
2020ton,,0.089,,0.148172
2020tlo,,0.065,,0.249565
2020sck,0.017,0.026,SN Iax[02cx-like],
2020top,,0.026,,
2020tfw,,0.025,,0.07892
2020tfx,,0.027,,0.18149
2020tvj,,0.028,,0.118383
2020wxz,,0.058,,0.484149
2020tmi,,0.021,,0.22674
2020tln,,0.055,,0.078822
2020tvl,,0.025,,0.310499
2020vxe,,0.015,,
2020sgy,,0.071,,
2020rfe,,0.049,,0.129036
2020two,,0.033,,0.186086
2020utk,,0.083,,0.342453
2020utj,,0.057,,0.469054
2020tpw,,0.052,,
2020tpv,,0.05,,
2020too,,0.02,,
2020tvt,,0.045,,
2020twa,,0.029,,0.579688
2020tuu,,0.044,,0.065268
2020tip,0.095,0.047,SN Ia,0.103476
2020thu,,0.076,,0.130277
2020tle,,0.056,,0.166465
2020usj,,0.034,,0.157881
2020skh,,0.039,,
2020trd,,0.054,,
2020vzd,,0.073,,
2020sdy,,0.099,,0.037116
2020tkd,,0.055,,
2020zrk,,0.051,,
2020ssu,,0.043,,
2020nva,0.05,0.054,SN Ia,
2020usl,,0.021,,
2020utd,,0.009,,
2020tuy,,0.027,,0.056316
2020utl,,0.027,,
2020vyc,,0.02,,
2020tvk,,0.081,,0.131073
2020prg,0.08,0.017,SN Ia,
2020tyl,,0.028,,
2020tfb,0.048,0.028,SN IIP,
2020vzf,,0.032,,
2020uig,,0.042,,
2020usk,,0.036,,0.108479
2020tyx,,0.072,,0.224332
2020xez,,0.033,,0.19059
2020tyw,,0.019,,
2020zrj,,0.007,,
2020use,,0.009,,
2020trb,,0.089,,0.276382
2020trc,,0.082,,
2020vzg,,0.056,,
2020usd,,0.03,,0.058718
2020tly,0.058,0.071,SN II,0.061197
2020tkw,,0.024,,
2020xpj,,0.032,,
2020uga,,0.036,,0.040335
2020yit,,0.098,,
2020wpn,,0.092,,0.336037
2020vgc,,0.042,,0.098845
2020usm,0.104,0.046,SN Ia,0.088218
2020xhr,,0.043,,
2020ulx,,0.027,,0.105787
2020ufe,0.075,0.023,SN Ia,
2020wpm,,0.04,,
2020zrl,,0.026,,
2020wpp,,0.092,,0.374942
2020tdk,,0.07,,
2020vqy,,0.048,,
2020svo,0.038748,0.029,SN Ia,0.053632
2020svn,0.02891,0.057,SN II,
2020vqr,,0.058,,
2020uyc,,0.053,,0.111812
2020uxw,,0.077,,
2020qmj,0.022,0.025,SN IIn,0.043941
2020ciu,,0.024,,0.075012
2020usc,,0.019,,0.547775
2020tgw,,0.019,,
2020wzq,,0.073,,
2020wcx,,0.031,,0.05983
2020ulf,0.032169,0.062,SN Ia,0.0
2020vbs,0.054604,0.017,SN Ia,
2020vei,,0.011,,
2020qbu,0.02,0.018,SN Ic,
2020ptm,,0.03,,0.081472
2020rsv,,0.037,,
2020rok,,0.04,,0.168085
2020rvg,,0.024,,0.308564
2020rxb,,0.054,,
2020rrq,,0.024,,
2020svk,,0.061,,0.212721
2020txk,,0.027,,0.238017
2020rhw,,0.021,,0.078964
2020wpo,,0.061,,0.136416
2020war,,0.056,,0.123176
2020vbl,,0.092,,0.052135
2020yiv,,0.033,,0.50737
2020wmb,,0.072,,0.120866
2020yiu,,0.062,,
2020wto,,0.024,,0.144969
2020xaq,,0.022,,
2020yiw,,0.06,,0.063293
2020yde,,0.027,,0.127502
2020yiy,,0.028,,0.528716
2020xur,,0.066,,0.11661
2020yix,,0.098,,0.228905
2020xku,,0.016,,
2020ydf,,0.037,,0.10771
2020xkf,,0.053,,
2020nap,0.022,0.041,SN II,
2020lht,0.076,0.018,SN Ia,0.256235
2020hrw,0.024,0.032,SN II,0.0684331086705661
2020pyf,0.073,0.029,SN Ia,0.069563
2020psv,0.0934,0.04,SN Ia,0.085421
2020koc,0.166,0.038,SN II,0.221654
2020qkx,0.127,0.03,SN Ia,0.111176
2020kre,0.136,0.021,SN Ia-CSM,0.150085
2020qlq,0.039,0.078,SN Ib/c,0.112783
2020pyy,0.114,0.029,SN Ia,0.337801
2020wyx,,0.024,,0.117157
2020wyz,,0.049,,
2020woq,,0.105,,
2020yjc,,0.094,,0.190434
2020unn,,0.038,,0.140723
2020wjd,,0.022,,0.252921
2020yrj,,0.05,,0.621731
