filename,redshift,MWEBV,type,host_photo_z
2020akx,,0.024,,
2020rw,,0.02,,0.0971647380133386
2020anl,,0.023,,0.0860337270943187
2020anm,,0.032,,
2020amg,,0.014,,0.0984497130776273
2020aov,,0.023,,0.51358
2020apf,,0.026,,
2020aot,,0.028,,
2019aaag,,0.019,,
2020aql,,0.025,,
2020aqn,,0.018,,
2020byd,,0.02,,0.450577
2020bye,,0.032,,
2020bya,,0.031,,
2020ara,,0.051,,
2020aqz,,0.021,,
2020byf,,0.028,,
2020byg,,0.035,,
2020awv,,0.016,,
2020aww,,0.022,,
2019zag,,0.034,,
2020aym,,0.022,,
2019wyp,0.081,0.022,SN Ia,0.0881328589794394
2020azn,0.14,0.013,SN Ia,0.217516125373122
2020azp,,0.015,,
2020azx,,0.016,,
2020eol,,0.028,,
2020bkw,,0.017,,
2019lbi,0.013,0.015,SN II,0.0365892593810609
2020ahd,,0.019,,
2020bkv,,0.033,,
2020biq,,0.041,,
2020bam,,0.0491,,0.312649338172842
2020bnw,,0.009,,0.307062519162519
2020dtk,,0.026,,
2020bvx,,0.023,,0.299433
2020bxc,,0.0115,,0.0938142257892828
2020clh,,0.064,,
2019aabv,,0.016,,
2020dxa,,0.044,SN Ia,
2020dbd,0.042335,0.015,SN II,
2020bwr,0.060637,0.014,SN II,
2020dwq,,0.036,,
2020dvu,,0.044,,
2020duv,0.04567,0.037,SN Ia-91T-like,
2020dwg,0.048,0.033,SN Ia,
2020dvl,,0.047,,
2020ejj,,0.049,,0.0732779125377506
2020ejl,,0.138,,
2020hau,,0.035,,0.106072805896285
2020ebc,,0.026,,0.124876414180657
2020elu,,0.0222,,
2020elt,,0.0317,,
2020ebm,,0.017,,
2020dec,,0.021,,
2020dyc,0.07,0.055,SN Ia,
2020hav,,0.0126,,
2020eqz,,0.0115,,
2020era,,0.0125,,
2020eta,,0.014,,
2020eci,0.069,0.057,SN Ia,
2020ghs,,0.031,,
2020evr,,0.019,,
2020ghr,,0.0283,,0.756533
2020evl,,0.0263,,
2020evt,,0.048,,
2020evp,,0.029,,
2020evq,,0.026,,0.10536021626808
2020evu,0.0581,0.035,SN Ia,
2020evo,,0.0275,,0.11053014649762
2020erx,,0.036,,
2020eru,,0.04,,
2020eyv,,0.044,,
2020eyu,,0.0255,,
2020eyt,,0.02,,
2020far,,0.0341,,
2020azk,0.087,0.033,SN Ib,
2020fc,,0.021,SN II,
2020fhj,0.085,0.033,SN Ic-BL,
2020cyz,0.11,0.027,SN Ia,
2020fsd,,0.021,,
2020fsc,,0.046,,
2020fhf,,0.03,,
2020fle,,0.029,,
2020eyx,,0.041,,
2020cwg,,0.026,,
2020fuq,,0.01,,
2020ewx,0.06,0.034,SN Ia,
2020fhs,0.01438,0.031,SN Ia,
2020fwx,,0.043,,0.239724556580469
2020fxe,,0.024,,
2020gkw,,0.052,,0.082301163614696
2020has,,0.028,,
2020her,,0.072,,
2020hmc,,0.035,,
2020hra,,0.032,,
2020epi,0.024,0.021,SN Ic,
2020itv,,0.015,,
2020hrd,,0.071,,
2020hmj,,0.091,,
2020kiq,,0.037,,0.633937
2020hrb,,0.028,,
2020hif,,0.01,,
2020heg,,0.013,,
2020kit,,0.014,,
2020iuv,,0.012,,
2020iuu,,0.012,,
2020itz,,0.016,,
2020hap,,0.032,,
2020itx,,0.022,,
2020hug,,0.035,,
2020iuy,,0.022,,
2020iul,,0.035,,
2020iwl,,0.009,,
2020ius,,0.021,,0.348150370253001
2020iuq,,0.027,,
2020ivq,,0.034,,0.0871705638040927
2020ivd,,0.034,,
2020iuz,,0.042,,
2020iwj,,0.012,,
2020iwi,,0.01,,
2020hep,,0.033,,
2020ivf,,0.04,,
2020ive,,0.044,,
2020ivl,,0.035,,
2020ivw,,0.031,,
2020ivj,,0.031,,
2020knn,,0.027,,
2020kir,,0.078,,
2020fwj,,0.164,,
2020iqy,,0.076,,
2020knx,,0.031,,
2020gll,,0.045,,
2020fla,,0.012,,
2020hpu,,0.01,,
2020hik,,0.024,,
2020hro,,0.046,,
2020glj,,0.039,,
2020fza,,0.049,,
2019igc,,0.09,,
2020iwv,,0.008,,
2020iri,,0.023,,0.061430990997228
2020igh,,0.027,,
2020iqk,,0.017,,
2020iqr,,0.012,,
2020irh,,0.026,,
2020knw,,0.151,,0.356014176030176
2020kns,,0.009,,
2020knu,,0.02,,
2020irx,,0.028,,
2020iqc,,0.021,,
2020irb,,0.034,,
2020irg,,0.021,,
2020irn,,0.02,,
2020iqp,,0.028,,
2020ixj,,0.016,,
2020imm,,0.022,,
2020koa,,0.018,,
2020koi,,0.025,,
2020imp,,0.034,,
2020kpk,,0.032,,
2020koh,,0.022,,
2020ims,,0.02,,0.319039773380373
2020imk,,0.043,,
2020inh,,0.024,,
2020ixm,,0.018,,
2020ixk,,0.043,,0.465333
2020kpm,,0.029,,
2020imf,,0.022,,
2020imh,,0.011,,
2020kpp,,0.066,,
2020kpv,,0.027,,
2020hjv,,0.01,,
2020hwk,,0.035,,
2020hdf,,0.018,,
2020hfm,,0.036,,
2020hci,,0.035,,
2020hju,,0.016,,
2020hwu,,0.039,,
2020icp,,0.038,,
2020jyp,,0.04,,
2019aacq,,0.036,,
2020hxi,,0.033,,
2019aacp,,0.017,,0.369265427892111
2019aacg,,0.034,,
2020kps,,0.02,,
2020itq,,0.055,,
2020ixl,,0.041,,
2020kpt,,0.028,,
2020iir,,0.042,,0.156128454476489
2020ijc,,0.019,,
2020igg,,0.037,,
2020ije,,0.025,,
2020ito,,0.032,,
2020ikz,,0.035,,
2020ikx,,0.01,,
2020iks,,0.023,,
2020iky,,0.018,,
2020ino,,0.021,,
2020itp,,0.026,,
2020jvk,,0.034,,
2020iow,,0.02,,
2020ioy,,0.04,,
2020itc,,0.032,,
2020ite,,0.015,,
2020kgr,,0.029,,
2020iga,,0.008,,
2020iyu,,0.01,,0.206257957511943
2020iyt,,0.072,,
2020fwz,,0.148,,
2020jba,,0.025,,
2020ixs,,0.037,,
2020jcy,,0.063,,
2020jdf,,0.035,,
2020ilb,0.0499,0.01,SN Ia,
2020jde,,0.032,,
2020awg,0.03181,0.035,SN II,
2020jeu,,0.032,,0.0321145168622807
2020jfx,,0.009,,
2020jed,,0.051,,
2020ika,,0.019,,
2020jdz,,0.014,,
2020jli,,0.074,,
2020jlj,,0.032,,
2020jlk,,0.02,,
2020jpm,,0.01,,
2020jpp,,0.028,,
2020jpo,,0.023,,
2020jpq,,0.017,,
2020kop,,0.024,,0.0335678743318138
2020kon,,0.028,,
2020kuw,,0.009,,
2020jpw,,0.053,,
2020kux,,0.052,,
2020jtj,,0.049,,
2020knt,,0.009,,0.553056
2020jtk,,0.064,,
2020kuy,,0.024,,0.117368
2020knv,,0.017,,
2020jnz,,0.023,,
2020jts,,0.012,,
2020jtq,,0.011,,
2020jtr,,0.029,,
2020kpf,,0.019,,
2020jvi,,0.032,,
2020kax,,0.035,,
2020jip,,0.019,,
2020juk,,0.045,,
2020jzx,,0.012,,
2020kaj,0.14,0.011,SN Ia,0.601702
2020kak,,0.012,,0.241344
2020kvf,,0.011,,
2020kvg,,0.014,,
2020kcl,,0.018,,
2020kcf,,0.023,,
2020kxv,,0.021,,
2020jur,,0.096,,
2020jup,,0.034,,
2020huf,,0.032,,
2020kfe,,0.022,,
2020jzs,,0.045,,
2020hwg,,0.025,,
2020kfh,,0.026,,
2020kff,,0.02,,
2020kfj,,0.019,,
2020kfi,,0.023,,
2020kfg,,0.026,,
2020kzv,,0.03,,
2020kuv,,0.017,,0.359668
2020kxr,,0.024,,
2020kxp,,0.026,,
2020kim,,0.011,,
2020kmm,,0.07,,
2020kml,,0.093,,
2020kyb,,0.029,,
2020kob,,0.027,,
2020mbn,,0.019,,0.032031
2020koe,,0.021,,
2020kof,,0.015,,
2020kqz,,0.125,,
2020jmm,,0.07,,
2020ley,,0.023,,
2020lex,,0.031,,
2020kvd,,0.01,,
2020kvb,,0.01,,
2020kvc,,0.016,,
2020kva,,0.022,,
2020kfy,,0.014,,
2020lew,,0.01,,
2020lev,,0.021,,
2020lad,,0.024,,
2020lez,,0.042,,
2020lac,,0.06,,
2020lgr,,0.011,,
2020lgq,,0.038,,
2020lkr,,0.01,,
2020lgy,,0.013,,
2021dbz,,0.138,,
2020lks,,0.013,,
2020lhw,,0.081,,
2020lhz,,0.034,,0.687318
2020lhy,,0.034,,
2020lsz,,0.127,,
2020lib,,0.019,,
2020lly,,0.035,,
2020gcv,0.028396,0.032,SN II,
2020ltk,,0.012,,
2020llz,,0.114,,
2020ltj,,0.024,,
2020jjb,,0.073,,
2020kzy,,0.032,,
2020imb,,0.036,,
2020kry,,0.029,,
2019wbv,,0.018,,
2019zfv,0.1357,0.028,SN Ia,
2020lxe,,0.023,,
2020lxd,,0.035,,
2020nfh,,0.026,,0.312985
2020lyv,,0.017,,
2020lyu,,0.014,,
2020juu,,0.024,,
2020ndf,,0.039,,
2020lyz,,0.025,,
2020mbh,,0.018,,
2020mbg,,0.132,,
2020mbi,,0.01,,
2020ndg,,0.027,,
2020nfg,,0.026,,
2020ndh,,0.032,,0.165645
2020ldd,,0.023,,0.291725
2020mvu,,0.027,,0.776603
2020mms,,0.033,,
2020lbf,0.056079,0.058,SN Ia,
2020lhx,,0.055,,
2020nbw,,0.016,,
2020nbx,,0.073,,
2020mnx,,0.023,,
2020mka,,0.04,,
2020ndi,,0.028,,
2020msu,0.1,0.01,SN Ia,
2020nff,,0.018,,
2020ndj,,0.023,,
2020lis,,0.075,,
2020mrv,,0.161,,
2020lom,,0.086,,
2020nib,,0.027,,
2020mub,,0.025,,0.18344
2020nic,,0.046,,
2020nie,,0.009,,
2020mjn,,0.034,,
2020mvy,,0.03,,0.163414
2020mvw,,0.043,,
2020mwc,,0.036,,
2020mvx,,0.028,,0.329213
2020npn,,0.082,,0.422947
2020mcd,,0.034,,
2020nax,,0.024,,
2020mju,,0.021,,
2020nyu,,0.095,,0.058078
2020ofp,,0.085,,
2020nhl,,0.07,,
2020nhj,,0.044,,
2020nwa,,0.041,,
2020njw,,0.027,,
2020nkv,,0.033,,
2020nor,,0.039,,
2020nde,,0.039,,
2020mzr,,0.032,,
2020noq,,0.089,,
2020odw,,0.094,,
2020ooo,,0.082,,0.671091
2020nnk,,0.049,,0.368883
2020mye,,0.043,,
2020odu,,0.072,,
2020odt,,0.124,,
2020ods,,0.046,,0.309626
2020mrw,,0.046,,
2020nue,,0.087,,
2020odr,,0.026,,
2020olk,,0.025,,
2020pfs,,0.018,,0.074405
2020nsp,,0.025,,0.521241
2020odq,,0.087,,
2020nuc,,0.013,,
2020nrp,,0.031,,
2020odn,,0.036,,
2020nvd,,0.035,,
2020nqu,,0.043,,
2020mza,,0.066,,
2020nud,,0.05,,
2020qhp,,0.04,,
2020myi,0.073,0.082,SN Ia,
2020nlk,,0.03,,
2020jnx,,0.032,,
2020oay,,0.019,,
2020noz,0.025,0.023,SN IIn,
2020oku,,0.02,,
2020oix,,0.025,,
2020opa,,0.079,,
2020oiy,,0.016,,
2020ohy,,0.032,,
2020oos,,0.019,,
2020oot,,0.013,,
2020oou,,0.032,,
2020oov,,0.008,,0.375962
2020oow,,0.028,,
2020oox,,0.012,,
2020ojl,,0.066,,
2020ovg,,0.033,,
2020oiv,,0.013,,
2020ovv,,0.015,,
2020ovi,,0.05,,
2020pip,,0.024,,
2020pqw,,0.021,,
2020kqb,,0.04,,
2020nbo,0.05,0.035,SN Ia,0.19885938350145
2020ogv,,0.022,,
2020mor,,0.021,,
2020kmj,,0.019,,
2020mwo,,0.04,,
2020lnm,,0.03,,
2020kmv,,0.021,,
2020poh,,0.086,,
2020pog,,0.029,,
2020qda,,0.03,,
2020jxa,,0.052,,
2020ppq,,0.031,,
2020qrn,,0.012,,
2020qgo,,0.149,,
2020qgn,,0.033,,
2020qro,,0.042,,
2020qfz,,0.093,,
2020qgm,,0.045,,
2020qgl,,0.03,,
2020azs,0.135,0.017,SN Ia,0.126689642667539
2020juq,0.12,0.046,SN Ia,
2020ama,0.063977,0.017,SN II,
2020ann,0.08,0.018,SN Ia,
2020apw,,0.018,,
2020kjk,,0.073,,
2020pzl,,0.076,,
2020pyk,,0.035,,
2020pyi,,0.022,,
2020pyx,,0.058,,
2020qht,,0.037,,
2020oen,,0.034,,
2020nrm,,0.031,,
2020pwl,,0.09,,
2020qfw,,0.032,,
2020qbi,,0.016,,
2020qbj,,0.02,,
2020qrq,,0.012,,
2020pux,,0.041,,0.33606
2020qet,,0.025,,
2020trf,,0.028,,
2020qfj,,0.027,,
2020qfv,,0.067,,
2020ppe,0.0388,0.031,SN Ia,
2020pth,,0.023,,
2020psu,,0.022,,
2020qqg,,0.019,,
2020qrp,,0.033,,0.319498
2020pvj,,0.052,,
2020qhn,,0.041013397127389904,,
2020qho,,0.06,,
2020qqi,,0.083,,
2020qrv,,0.078,,
2020qlp,,0.046,,
2020nim,0.06,0.046,SN II,
2020rpl,,0.05,,
2020rmo,,0.039,,
2020vzc,,0.019,,
2020toj,,0.061,,
2020pmq,,0.062,,
2020qmy,,0.06,,
2020qrt,,0.011,,0.31892
2020qte,,0.083,,
2020qpu,,0.017,,
2020rjw,,0.019,,
2020rcs,,0.019,,
2019wdy,,0.033,,0.495427
2020qrs,,0.035,,0.100635
2020ncg,,0.156,,
2020rmp,,0.099,,
2020qze,,0.034,,0.144355
2020qzg,,0.029,,
2020ovk,0.025,0.046,SN II,
2020pix,,0.026,,
2020qtp,,0.054,,
2020qtf,,0.027,,
2020qxm,,0.035,,
2020qxl,,0.047,,
2020qzf,,0.039,,
2020rcr,,0.035,,
2020rkr,,0.067,,
2020kvl,0.12,0.018,SN Ia,
2020rla,,0.094,,
2020rij,,0.025,,
2020rkq,,0.038,,
2020qyx,,0.039,,
2020rom,,0.048,,
2020rhg,0.03,0.018,SN II,
2020riu,,0.021,,
2020rsn,,0.029,,
2020sdu,,0.025,,0.680536
2020rof,,0.02,,
2020rkp,,0.057,,
2020qqe,,0.066,,
2020rmc,,0.041,,
2020yja,,0.015,,
2020tao,,0.034,,
2020rsw,,0.02,,
2020rst,,0.036,,
2020rsr,,0.025,,
2020sxr,,0.007,,
2020rsx,,0.054,,0.194002
2020rrr,,0.049,,
2020rsu,,0.02,,
2020nrg,,0.068,,
2020rnl,,0.049,,
2020tre,,0.062,,0.126361
2020roi,,0.008,,
2020trg,,0.037,,
2020roj,,0.048,,
2020yjb,,0.027,,
2020rsp,,0.011,,
2020rso,,0.077,,
2020rrn,,0.012,,
2020rss,,0.068,,0.147859
2020ulp,,0.055,,
2020toi,,0.038,,
2020ron,,0.036,,
2020sej,,0.036,,0.352109
2020rtg,,0.012,,
2020ioz,0.06,0.028,SN Ia,
2020inp,0.07,0.031,SN Iax[02cx-like],
2020ivg,0.053,0.011,SN IIb,
2020ikq,0.037,0.01,SN IIb,0.102976069612389
2020iio,,0.038,,
2020vtq,,0.034,,
2020rwx,,0.017,,
2020vzb,,0.013,,
2020roo,,0.035,,
2020sex,,0.039,,
2020abxz,,0.038,,0.153653
2020qmv,,0.03,,0.770004
2020tga,,0.018,,
2020tgb,,0.027,,
2020ski,,0.025,,
2020rth,0.0184,0.041,SN II,
2020trk,,0.018,,
2020skj,,0.05,,
2020tri,,0.029,,
2020rdu,,0.055,,
2020skd,0.06,0.06,SN Ia,
2020sss,,0.104,,
2020nrh,,0.035,,
2020tgv,,0.045,,
2020sxq,,0.019,,
2020sek,,0.014,,
2020sxo,,0.036,,
2020rvq,0.131,0.02,SN Ia,
2020skv,,0.01,,
2020rxy,,0.092,,
2020trj,,0.011,,
2020sxp,,0.034,,
2020sxs,,0.042,,
2020rol,,0.007,,
2020puc,,0.075,,
2020tee,,0.017,,
2020tqy,,0.017,,
2020tgd,,0.021,,0.709657
2020tgu,,0.02,,
2020tgc,,0.028,,0.174449
2020tqz,0.136,0.054,SN Ia,
2020tra,,0.016,,
2020szp,,0.088,,
2020szo,,0.036,,
2020twb,,0.065,,
2020qnh,,0.097,,
2020trl,,0.061,,
2020ton,,0.089,,
2020tlo,,0.065,,
2020sck,0.017,0.026,SN Iax[02cx-like],
2020top,,0.026,,
2020tfw,,0.025,,
2020tfx,,0.027,,
2020tvj,,0.028,,
2020wxz,,0.058,,
2020tmi,,0.021,,0.22674
2020tln,,0.055,,
2020tvl,,0.025,,
2020vxe,,0.015,,
2020sgy,,0.071,,
2020rfe,,0.049,,
2020two,,0.033,,
2020utk,,0.083,,
2020utj,,0.057,,0.469054
2020tpw,,0.052,,
2020tpv,,0.05,,
2020too,,0.02,,
2020tvt,,0.045,,
2020twa,,0.029,,
2020tuu,,0.044,,
2020tip,0.095,0.047,SN Ia,
2020thu,,0.076,,0.130277
2020tle,,0.056,,
2020usj,,0.034,,
2020skh,,0.039,,
2020trd,,0.054,,
2020vzd,,0.073,,
2020sdy,,0.099,,
2020tkd,,0.055,,
2020zrk,,0.051,,
2020ssu,,0.043,,
2020nva,0.05,0.054,SN Ia,
2020usl,,0.021,,
2020utd,,0.009,,
2020tuy,,0.027,,
2020utl,,0.027,,
2020vyc,,0.02,,
2020tvk,,0.081,,
2020prg,0.08,0.017,SN Ia,
2020tyl,,0.028,,
2020tfb,0.048,0.028,SN IIP,
2020vzf,,0.032,,
2020uig,,0.042,,
2020usk,,0.036,,
2020tyx,,0.072,,0.224332
2020xez,,0.033,,
2020tyw,,0.019,,
2020zrj,,0.007,,
2020use,,0.009,,
2020trb,,0.089,,
2020trc,,0.082,,
2020vzg,,0.056,,
2020usd,,0.03,,0.058718
2020tly,0.058,0.071,SN II,
2020tkw,,0.024,,
2020xpj,,0.032,,
2020uga,,0.036,,
2020yit,,0.098,,
2020wpn,,0.092,,
2020vgc,,0.042,,
2020usm,0.104,0.046,SN Ia,
2020xhr,,0.043,,
2020ulx,,0.027,,
2020ufe,0.075,0.023,SN Ia,
2020wpm,,0.04,,
2020zrl,,0.026,,
2020wpp,,0.092,,0.374942
2020tdk,,0.07,,
2020vqy,,0.048,,
2020svo,0.038748,0.029,SN Ia,
2020svn,0.02891,0.057,SN II,
2020vqr,,0.058,,
2020uyc,,0.053,,
2020uxw,,0.077,,
2020qmj,0.022,0.025,SN IIn,
2020ciu,,0.024,,
2020usc,,0.019,,
2020tgw,,0.019,,
2020wzq,,0.073,,
2020wcx,,0.031,,
2020ulf,0.032169,0.062,SN Ia,
2020vbs,0.054604,0.017,SN Ia,
2020vei,,0.011,,
2020qbu,0.02,0.018,SN Ic,
2020ptm,,0.03,,
2020rsv,,0.037,,
2020rok,,0.04,,
2020rvg,,0.024,,
2020rxb,,0.054,,
2020rrq,,0.024,,
2020svk,,0.061,,
2020txk,,0.027,,
2020rhw,,0.021,,
2020wpo,,0.061,,
2020war,,0.056,,
2020vbl,,0.092,,
2020wmb,,0.072,,
2020yiu,,0.062,,
2020wto,,0.024,,
2020xaq,,0.022,,
2020yiw,,0.06,,
2020yde,,0.027,,
2020yiy,,0.028,,
2020xur,,0.066,,
2020yix,,0.098,,
2020xku,,0.016,,
2020ydf,,0.037,,
2020xkf,,0.053,,
2020nap,0.022,0.041,SN II,
2020lht,0.076,0.018,SN Ia,
2020hrw,0.024,0.032,SN II,
2020pyf,0.073,0.029,SN Ia,
2020psv,0.0934,0.04,SN Ia,
2020koc,0.166,0.038,SN II,
2020qkx,0.127,0.03,SN Ia,
2020kre,0.136,0.021,SN Ia-CSM,
2020qlq,0.039,0.078,SN Ib/c,
2020pyy,0.114,0.029,SN Ia,
2020wyx,,0.024,,
2020wyz,,0.049,,
2020woq,,0.105,,
2020yjc,,0.094,,
2020unn,,0.038,,
2020wjd,,0.022,,
2020yrj,,0.05,,0.621731
2020yis,,0.024,,
2020xse,,0.027,,
2020xst,,0.009,,
2020kqn,,0.032,,
2020xpx,,0.036,,
2020uzk,,0.014,,
2020uhm,0.04,0.044,SN II,
2020uru,,0.038,,
2020yda,,0.031,,
2020urt,,0.043,,
2020yfm,,0.043,,
2020yeg,,0.063,,
2020zrg,,0.012,,
2020yfx,,0.1,,0.064241
2020kdc,,0.039,,
2020nbv,,0.025,,
2020ima,,0.025,,
2020rtb,,0.025,,
2020qgp,,0.094,,
2020pvt,,0.079,,
2020kbl,0.079,0.078,SN Ia,
2020pss,,0.082,,
2020inw,,0.008,,
2020ryn,0.073,0.111,SN Ia,
2019pmd,0.022019,0.073,SN Ia,
2020mfa,,0.041,,
2020kzb,,0.04,,
2020nis,,0.087,,
2020row,0.09,0.062,SN Ia,
2020mfb,,0.034,,0.124447
2020vdt,,0.033,,
2020tok,,0.008,,
2020trh,,0.016,,
2020vze,,0.014,,
2020wbh,,0.019,,
2020utc,,0.045,,
2020tol,,0.043,,
2020wzd,,0.075,,
2020yuc,,0.052,,0.099432
2020von,,0.017,,
2020wnz,,0.019,,
2020vqk,,0.009,,
2020zql,,0.02,,
2020zji,,0.01,,
2020zqm,,0.016,,
2020yxr,,0.061,,0.192965
2021acss,,0.047,,
2020admv,,0.025,,
2020zqn,,0.06,,
2020aaqn,,0.02,,
2020adob,,0.019,,0.393064
2020aabc,,0.024,,
2020yya,,0.017,,
2020yyc,,0.05,,
2020aaca,,0.04,,
2020aacm,,0.105,,
2020zoy,,0.039,,
2020ykb,0.09,0.029,SN II,
2020tue,,0.018,,
2020usn,,0.129,,
2020wzp,,0.016,,
2020vzh,,0.01,,
2020ypn,,0.073,,
2020xpz,,0.029,,
2020xoc,0.13,0.014,SN Ia,
2020yac,,0.014,,
2020wwr,,0.077,,
2020xuq,,0.032,CV,
2020wwt,,0.078,,
2020jhs,0.065,0.022,SN IIn,0.206219787778815
2020dow,0.0474,0.024,SN Ia,
2020icw,,0.018,,
2020kld,,0.03,,0.529093
2020lyy,,0.039,,
2020zmv,,0.046,,0.019065
2020zkg,,0.024,,
2020zjp,,0.023,,
2020znk,,0.039,,
2020yko,,0.027,,
2020aasl,,0.021,,
2020aajt,,0.022,,
2020adix,,0.019,,
2020aahq,,0.035,,
2020abre,,0.018,,
2020aavc,,0.021,,
2020aahb,,0.037,,
2020aaqu,,0.025,,
2020xlm,,0.036,,
2020abhu,,0.04,,
2020abrb,,0.068,,
2020vds,,0.026,,
2020abbc,,0.032,,
2020aazr,0.08,0.081,SN Ia,
2020abjy,,0.071,,
2020abkb,,0.038,,
2020abjz,,0.036,,
2020abka,,0.1,,
2020abra,0.111,0.07,SN Ia-91T-like,
2020abnt,,0.018,,0.299716
2020abrd,,0.03,,
2020aaua,,0.015,,
2020abrc,,0.087,,
2020tan,0.079,0.022,SN IIn,
2020zfs,,0.027,,
2020abpt,0.139,0.028,SN Ia,
2020abte,,0.024,,
2020abyv,,0.02,,
2020acas,,0.08,,0.076149
2020abya,,0.03,,
2020abyb,,0.042,,0.465323
2020achi,,0.065,,
2020achj,,0.038,,
2020acwz,,0.056,,
2020acwx,,0.028,,
2020ablf,,0.018,,
2020acys,,0.041,,
2020aaaq,,0.057,,
2020acyr,,0.049,,
2020acxa,,0.067,,
2020aess,,0.048,,
2020abci,,0.015,,0.077726
2020able,0.024755,0.028,SN Ic,
2020abgb,,0.016,,
2020adma,,0.044,,
2020acyp,,0.027,,
2020abji,,0.032,,
2020adlz,,0.024,,
2020aczw,,0.044,,
2020acxd,,0.039,,
2020acxc,,0.047,,0.066985
2020acww,,0.031,,
2020acyt,,0.025,,
2020aacr,,0.046,,
2020abbj,,0.019,,
2020adly,,0.02,,
2020yjd,,0.037,,
2020xjg,,0.033,,
2020woh,,0.065,,
2020aapc,,0.022,,
2020acyo,,0.095,,
2020actn,,0.038,,
2020acxe,,0.023,,
2020acxf,,0.011,,
2020acyu,,0.026,,
2020aazk,0.10196,0.017,SN Ia,
2020aesh,,0.023,,
2020aczf,,0.018,,
2020fci,,0.034,,
2020adb,,0.02,,
2020abpx,,0.03,,
2020yyb,,0.02,,
2020acds,,0.035,,
2020acyv,,0.067,,
2020aaur,,0.016,,
2020shf,0.056392,0.055,SN II,
2020adky,,0.046,,
2020abid,,0.017,,
2020adet,,0.025,,
2020abhw,,0.011,,
2020abhk,,0.02,,
2020acjn,,0.05,,
2020absk,0.01889,0.035,SN II,
2020aevl,,0.01,,
2020abho,,0.013,,
2020advq,,0.011,,
2020aciz,0.124,0.021,SN Ia,
2020aevm,,0.043,,
2020aecv,,0.033,,
2020acts,0.06,0.05,SN Ia,
2020actt,,0.041,,
2020admo,,0.038,,
2020admp,,0.053,,
2020aclg,,0.028,,
2020aeql,,0.04,,
2020aenc,,0.024,,
2020acbb,,0.046,,
2020acjy,0.07551,0.048,SN Ia,
2020adjs,,0.012,,0.078106
2020yza,0.071,0.051,SN Ia,
2020acog,,0.018,,
2020aepz,,0.016,,0.3412
2020advj,,0.017,,
2020advl,,0.028,,
2020whv,0.097,0.018,SN II,
2020advk,,0.024,,
2020adti,,0.025,,
2020aeqx,0.03179,0.032,SN IIP,
2020aejb,,0.038,,
2020acdu,,0.047,,
2020acmm,0.06,0.015,SN Ia,
2020aatr,0.052,0.031,SN Ia,
2020abip,0.034407,0.015,SN Ia,
2020aesp,,0.021,,
2021au,,0.025,,0.627353
2021be,,0.045,,
2021dl,,0.066,,
2021cjl,,0.074,,
2021bf,,0.015,,
2021bg,,0.026,,
2021bh,,0.047,,
2021lz,,0.025,,
2020hgw,0.043,0.011,SN II,
2020jww,0.046,0.035,SN II,
2020ryb,0.082,0.034,SN Ia,
2020rii,0.087,0.022,SN Ia,
